,Cod_setor,quintilLongevidade,quintilAlfabetizacao,quintilRenda
0,350270505000001,3.0,5.0,5.0
1,350270505000002,4.0,5.0,5.0
2,350270505000003,5.0,5.0,5.0
3,350270505000004,3.0,3.0,5.0
4,350270505000005,3.0,5.0,4.0
5,350270505000006,5.0,1.0,5.0
6,350270505000007,3.0,5.0,5.0
7,350270505000008,5.0,4.0,5.0
8,350270505000009,5.0,5.0,5.0
9,350270505000010,1.0,3.0,2.0
10,350270505000011,4.0,3.0,5.0
11,350270505000012,1.0,4.0,1.0
12,350270505000013,3.0,4.0,5.0
13,350270505000014,4.0,4.0,5.0
14,350270505000015,4.0,4.0,4.0
15,350270505000016,4.0,5.0,5.0
16,350270505000017,4.0,3.0,4.0
17,350270505000018,3.0,4.0,3.0
18,350270505000019,3.0,5.0,5.0
19,350270505000020,5.0,5.0,5.0
20,350270505000021,1.0,5.0,4.0
21,350270505000022,1.0,5.0,5.0
22,350270505000023,5.0,5.0,2.0
23,350270505000024,4.0,4.0,2.0
24,350270505000025,5.0,5.0,5.0
25,350270505000026,2.0,3.0,2.0
26,350270505000027,3.0,4.0,5.0
27,350270505000028,5.0,4.0,1.0
28,350270505000029,2.0,3.0,1.0
29,350270505000030,5.0,1.0,1.0
30,350270505000031,1.0,3.0,1.0
32,350270505000033,1.0,5.0,1.0
33,350270505000034,5.0,4.0,1.0
34,350270505000035,5.0,4.0,2.0
35,350270505000036,4.0,4.0,1.0
37,350270505000038,4.0,4.0,2.0
38,350270505000039,2.0,3.0,1.0
39,350270505000040,5.0,3.0,2.0
40,350270510000001,3.0,4.0,1.0
41,350270510000002,4.0,3.0,1.0
42,350270510000003,4.0,5.0,1.0
43,350270510000004,2.0,3.0,1.0
44,350270510000005,1.0,5.0,2.0
45,350270510000006,1.0,2.0,1.0
46,350270525000001,1.0,2.0,1.0
47,350270525000002,2.0,2.0,1.0
48,350270525000003,1.0,3.0,1.0
49,350270525000004,2.0,2.0,1.0
50,350270525000005,4.0,3.0,1.0
51,350270525000006,2.0,5.0,1.0
52,350270530000001,3.0,2.0,2.0
53,350270530000002,3.0,4.0,1.0
54,350270530000003,1.0,1.0,1.0
55,350535105000001,1.0,4.0,5.0
56,350535105000002,1.0,4.0,4.0
57,350535105000003,3.0,4.0,3.0
58,350535105000004,1.0,2.0,1.0
59,350535105000005,1.0,4.0,3.0
60,350535105000006,1.0,4.0,1.0
61,350535105000007,2.0,2.0,2.0
62,350535105000008,2.0,3.0,4.0
63,350535105000009,1.0,4.0,1.0
64,350535105000010,3.0,4.0,2.0
65,350535105000011,1.0,2.0,1.0
66,350540105000001,2.0,2.0,5.0
67,350540105000002,1.0,4.0,4.0
68,350540105000003,1.0,3.0,2.0
69,350540105000004,1.0,1.0,1.0
70,350540105000005,2.0,1.0,2.0
71,350540105000006,1.0,4.0,1.0
72,350540105000007,2.0,1.0,1.0
73,350540105000008,1.0,1.0,4.0
74,350540105000009,2.0,1.0,1.0
75,350540105000010,1.0,1.0,1.0
76,350540105000011,3.0,1.0,3.0
77,350540105000012,3.0,2.0,3.0
78,350540105000013,1.0,1.0,4.0
79,350540105000015,4.0,2.0,1.0
80,350925405000001,2.0,4.0,4.0
81,350925405000002,4.0,5.0,5.0
82,350925405000003,2.0,4.0,4.0
83,350925405000004,4.0,3.0,4.0
84,350925405000005,4.0,3.0,5.0
85,350925405000006,2.0,3.0,4.0
86,350925405000007,4.0,4.0,5.0
87,350925405000008,4.0,5.0,5.0
88,350925405000009,4.0,4.0,5.0
89,350925405000010,4.0,5.0,5.0
90,350925405000011,4.0,4.0,4.0
91,350925405000012,2.0,2.0,1.0
92,350925405000013,2.0,3.0,1.0
93,350925405000014,2.0,4.0,3.0
94,350925405000015,2.0,3.0,5.0
95,350925405000016,4.0,2.0,1.0
96,350925405000017,1.0,4.0,2.0
97,350925405000018,1.0,2.0,1.0
98,350925405000019,1.0,5.0,5.0
99,350925405000020,4.0,3.0,2.0
100,350925405000021,3.0,1.0,2.0
101,350925405000022,1.0,4.0,1.0
102,350925405000023,3.0,3.0,2.0
103,350925405000024,2.0,1.0,2.0
104,350925405000025,4.0,2.0,3.0
105,350925405000026,4.0,1.0,1.0
106,350925405000027,3.0,3.0,4.0
107,350925405000028,5.0,2.0,1.0
108,350925405000029,4.0,1.0,1.0
109,350925405000030,5.0,2.0,2.0
110,350925405000031,1.0,3.0,1.0
111,350925405000033,3.0,3.0,2.0
112,350925405000034,2.0,3.0,2.0
113,350925405000035,2.0,2.0,3.0
114,350925405000036,5.0,2.0,3.0
115,350925405000037,4.0,2.0,3.0
116,350925405000038,5.0,2.0,3.0
117,350925405000039,4.0,3.0,1.0
118,350990805000001,5.0,5.0,5.0
