,Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,IDHL-Setor,quintilLongevidade,AlfabIDHM,quintilAlfabetizacao
0,350270505000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,174.0,521.0,2.99,2.29,1041.52,2494024.94,1208.16,2693064.75,756.23,1540642.33,1075.16,1848461.55,0.8,3.0,0.9701943638079538,5.0
1,350270505000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,155.0,452.0,2.92,2.49,1522.4,4846961.25,1573.15,4929243.23,902.73,2397731.07,1247.07,2884587.08,0.85,4.0,0.9719202898550724,5.0
2,350270505000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,103.0,299.0,2.9,2.15,2921.15,12900749.79,2978.99,12984723.51,1653.02,7020103.23,2182.31,8118250.4,0.9333333333333333,5.0,0.9756728061671976,5.0
3,350270505000004,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,112.0,358.0,3.2,2.14,3912.21,799315013.09,4338.3,885372706.29,1830.15,309228447.32,2788.34,469294432.86,0.8,3.0,0.9397452788757136,3.0
4,350270505000005,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,254.0,837.0,3.3,2.61,783.93,391569.87,809.43,383636.26,466.07,301123.72,695.64,289725.32,0.8166666666666667,3.0,0.968134242187209,5.0
5,350270505000006,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,10.0,29.0,2.9,1.66,1553.0,1093578.89,1553.0,1093578.89,327.65,485746.62,1114.0,790793.68,1.0,5.0,0.8080808080808081,1.0
6,350270505000007,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,97.0,310.0,3.2,2.35,1126.15,1463758.97,1348.6,1452763.22,757.89,1059801.5,1164.36,1155443.94,0.8166666666666667,3.0,0.9701036552100382,5.0
7,350270505000008,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,149.0,509.0,3.42,3.3,1152.87,4679247.5,1272.42,5014862.54,586.11,1855044.37,965.48,2692536.26,0.8666666666666667,5.0,0.963742502142245,4.0
8,350270505000009,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,120.0,356.0,2.97,1.81,2533.69,68290465.37,2815.21,75149259.81,1385.5,26885426.44,1949.5,36774156.51,0.8666666666666667,5.0,0.9965277777777778,5.0
9,350270505000010,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,134.0,491.0,3.66,3.02,673.43,391198.49,798.58,363712.07,414.33,288995.57,705.4,286685.44,0.7333333333333333,1.0,0.9475643058491895,3.0
10,350270505000011,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,260.0,825.0,3.17,2.4,1168.48,2596732.73,1344.27,2751771.15,764.92,1503317.89,1160.74,1822487.5,0.85,4.0,0.9380407695014435,3.0
11,350270505000012,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,194.0,724.0,3.73,3.13,489.21,132252.3,548.59,115632.86,269.19,114233.55,490.43,99571.37,0.7333333333333333,1.0,0.9516408608433148,4.0
12,350270505000013,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,224.0,709.0,3.17,2.19,1036.67,922544.95,1105.78,907555.26,658.41,743113.5,962.54,793751.85,0.8,3.0,0.9623266607745543,4.0
13,350270505000014,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,104.0,324.0,3.12,2.67,3021.92,191673427.33,3654.42,229924497.89,1329.41,72651643.36,2297.74,123660632.35,0.85,4.0,0.9596056590487164,4.0
14,350270505000015,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,114.0,357.0,3.13,2.93,821.71,751480.93,927.48,750098.35,477.26,452182.23,777.76,503444.18,0.85,4.0,0.9587878787878789,4.0
15,350270505000016,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,98.0,292.0,2.98,2.82,1863.79,38796972.48,2007.15,41523555.53,1048.85,14812893.98,1457.63,20016958.66,0.85,4.0,0.9904761904761905,5.0
16,350270505000017,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,240.0,823.0,3.43,3.33,879.85,1789967.58,959.83,1876311.28,472.82,892075.58,796.77,1246049.74,0.8333333333333334,4.0,0.9285404734296122,3.0
