,loss,accuracy,mean_absolute_error,Pearson,KendallTau
0,"1,6691","0,2638","0,4824","0,9268","0,0643"
1,"1,5275","0,3431","0,4583","0,8163","0,1529"
2,"1,4468","0,3835","0,4449","0,7591","0,1979"
3,"1,3889","0,413","0,4356","0,7232","0,2253"
4,"1,343","0,4319","0,4281","0,6974","0,2447"
5,"1,3054","0,4493","0,4219","0,6777","0,259"
6,"1,2728","0,4639","0,4162","0,6614","0,2708"
7,"1,2445","0,4779","0,411","0,6478","0,2806"
8,"1,2194","0,4896","0,4063","0,636","0,289"
9,"1,195","0,5016","0,4014","0,6244","0,2975"
10,"1,1731","0,5127","0,3969","0,6144","0,3045"
11,"1,1533","0,5225","0,3927","0,6056","0,3106"
12,"1,1345","0,5332","0,3884","0,5972","0,3166"
13,"1,1165","0,542","0,3842","0,589","0,3222"
14,"1,1001","0,5507","0,3802","0,5821","0,3269"
15,"1,0842","0,5582","0,3763","0,5749","0,3317"
16,"1,0687","0,5673","0,3723","0,5678","0,3363"
17,"1,0549","0,5748","0,3688","0,5622","0,34"
18,"1,0405","0,5852","0,3649","0,5557","0,3442"
19,"1,027","0,5937","0,3612","0,5496","0,3481"
20,"1,0141","0,6013","0,3576","0,5441","0,3516"
21,"1,0022","0,609","0,3543","0,5392","0,3547"
22,"0,9902","0,6172","0,3508","0,5337","0,3579"
23,"0,9794","0,6239","0,3477","0,5294","0,3605"
24,"0,9682","0,6316","0,3444","0,5247","0,3631"
25,"0,9572","0,6387","0,3411","0,5201","0,3657"
26,"0,9471","0,6456","0,338","0,5159","0,368"
27,"0,9368","0,652","0,3349","0,5118","0,3701"
28,"0,927","0,6576","0,3319","0,5081","0,3721"
29,"0,9177","0,664","0,329","0,5041","0,3741"
30,"0,9081","0,6691","0,326","0,5005","0,376"
31,"0,8992","0,674","0,3233","0,4972","0,3775"
32,"0,89","0,6804","0,3203","0,4936","0,3793"
33,"0,8816","0,6851","0,3176","0,4902","0,3809"
34,"0,873","0,6905","0,3149","0,4871","0,3823"
35,"0,8645","0,6956","0,3122","0,484","0,3838"
36,"0,8564","0,7006","0,3095","0,4808","0,3852"
37,"0,848","0,706","0,3069","0,4777","0,3864"
38,"0,8406","0,7083","0,3045","0,4754","0,3873"
39,"0,8324","0,7129","0,3018","0,4725","0,3885"
40,"0,8252","0,7166","0,2994","0,4698","0,3896"
41,"0,8175","0,7193","0,2969","0,4672","0,3905"
42,"0,8102","0,7225","0,2945","0,4646","0,3913"
43,"0,8029","0,7261","0,2921","0,4619","0,3926"
44,"0,7956","0,7293","0,2897","0,4595","0,3934"
45,"0,7887","0,7318","0,2874","0,4571","0,3942"
46,"0,782","0,7349","0,2852","0,4549","0,3949"
47,"0,7752","0,7379","0,2829","0,4525","0,3959"
48,"0,7686","0,741","0,2808","0,4505","0,3963"
49,"0,7619","0,7434","0,2784","0,4481","0,3974"
50,"0,7554","0,746","0,2763","0,4461","0,398"
51,"0,7491","0,7482","0,2742","0,4438","0,3988"
52,"0,7424","0,7504","0,2719","0,4418","0,3994"
53,"0,7366","0,7514","0,27","0,4399","0,3998"
54,"0,7304","0,7535","0,2678","0,4378","0,4008"
55,"0,724","0,7572","0,2656","0,4356","0,4014"
56,"0,7184","0,7586","0,2638","0,4338","0,4019"
57,"0,7126","0,7613","0,2618","0,432","0,4024"
58,"0,7067","0,7631","0,2598","0,4303","0,4027"
59,"0,701","0,7657","0,2579","0,4282","0,4036"
60,"0,6957","0,7666","0,2561","0,4268","0,4037"
61,"0,6897","0,7689","0,2541","0,4248","0,4042"
62,"0,6844","0,7705","0,2522","0,4231","0,4049"
63,"0,6788","0,7722","0,2503","0,4214","0,4053"
64,"0,6735","0,7737","0,2486","0,4198","0,4056"
65,"0,6681","0,7753","0,2467","0,4179","0,4062"
66,"0,6633","0,7768","0,245","0,4166","0,4066"
67,"0,6579","0,7787","0,2432","0,415","0,4069"
68,"0,653","0,7793","0,2415","0,4137","0,4073"
69,"0,6476","0,781","0,2397","0,412","0,4078"
70,"0,6427","0,7821","0,238","0,4103","0,4082"
71,"0,6397","0,7831","0,2365","0,4095","0,4085"
72,"0,633","0,7836","0,2346","0,4076","0,4088"
73,"0,6283","0,785","0,2331","0,4063","0,4092"
74,"0,6236","0,7856","0,2315","0,4048","0,4095"
75,"0,6189","0,7868","0,2298","0,4033","0,4099"
76,"0,6144","0,7871","0,2283","0,4024","0,41"
77,"0,61","0,7883","0,2268","0,401","0,4104"
78,"0,6054","0,7895","0,2251","0,3993","0,411"
79,"0,6012","0,7901","0,2237","0,3983","0,4111"
80,"0,5966","0,7913","0,2221","0,3968","0,4115"
81,"0,5923","0,7918","0,2206","0,3957","0,4118"
82,"0,5881","0,7926","0,2191","0,3945","0,412"
83,"0,584","0,7935","0,2177","0,3934","0,4123"
84,"0,5798","0,7946","0,2163","0,3921","0,4127"
85,"0,5759","0,7949","0,215","0,3915","0,4127"
86,"0,5719","0,7959","0,2136","0,3901","0,4131"
87,"0,5677","0,7967","0,2121","0,3888","0,4134"
88,"0,5643","0,7971","0,211","0,3883","0,4134"
89,"0,5602","0,7978","0,2095","0,387","0,414"
90,"0,5563","0,7979","0,2082","0,3858","0,414"
91,"0,5526","0,7989","0,2069","0,385","0,4142"
92,"0,5488","0,7995","0,2055","0,3838","0,4146"
93,"0,5452","0,8004","0,2042","0,3825","0,415"
94,"0,542","0,8009","0,2032","0,382","0,4151"
95,"0,5382","0,8016","0,2019","0,3812","0,4151"
96,"0,5346","0,802","0,2006","0,3801","0,4153"
97,"0,5315","0,8028","0,1995","0,3791","0,4157"
98,"0,5277","0,8037","0,1982","0,3781","0,416"
99,"0,5247","0,804","0,1972","0,3776","0,4159"
100,"0,5213","0,8045","0,196","0,3764","0,4163"
101,"0,5179","0,8052","0,1948","0,3755","0,4165"
102,"0,5149","0,8051","0,1938","0,3748","0,4165"
103,"0,5117","0,8059","0,1927","0,374","0,4169"
104,"0,5085","0,8064","0,1915","0,373","0,4172"
105,"0,5054","0,8069","0,1905","0,3723","0,4172"
106,"0,5023","0,8075","0,1894","0,3716","0,4175"
107,"0,4994","0,8077","0,1884","0,3706","0,4177"
108,"0,4963","0,8078","0,1874","0,3701","0,4177"
109,"0,4935","0,808","0,1864","0,3694","0,4178"
110,"0,4904","0,8084","0,1853","0,3686","0,4182"
111,"0,4876","0,8093","0,1843","0,3677","0,4184"
112,"0,4848","0,8091","0,1834","0,3673","0,4184"
113,"0,482","0,8098","0,1825","0,3664","0,4184"
114,"0,4793","0,8103","0,1815","0,3655","0,4188"
115,"0,4765","0,8107","0,1805","0,3649","0,419"
116,"0,4738","0,811","0,1796","0,3643","0,419"
117,"0,4712","0,8115","0,1788","0,3638","0,419"
118,"0,4685","0,8118","0,1778","0,363","0,4193"
119,"0,4661","0,8118","0,1771","0,3625","0,4192"
120,"0,4633","0,8125","0,176","0,3616","0,4196"
121,"0,4609","0,8126","0,1752","0,3613","0,4195"
122,"0,4585","0,8134","0,1743","0,3603","0,4198"
123,"0,456","0,8132","0,1735","0,3601","0,4198"
124,"0,4536","0,8135","0,1727","0,3593","0,4199"
125,"0,4509","0,8137","0,1716","0,3584","0,4204"
126,"0,4484","0,8141","0,1708","0,3579","0,4204"
127,"0,4463","0,8146","0,1701","0,3572","0,4205"
128,"0,4439","0,8148","0,1693","0,3567","0,4206"
129,"0,4418","0,8146","0,1686","0,3564","0,4205"
130,"0,4394","0,8152","0,1677","0,3555","0,4208"
131,"0,4373","0,8153","0,1671","0,3552","0,4207"
132,"0,435","0,8156","0,1663","0,3546","0,4208"
133,"0,4327","0,8161","0,1654","0,3539","0,4211"
134,"0,4305","0,8161","0,1647","0,3535","0,4211"
135,"0,4286","0,8164","0,1642","0,3531","0,4211"
136,"0,4264","0,8167","0,1633","0,3522","0,4214"
137,"0,4244","0,8165","0,1626","0,3519","0,4214"
138,"0,4224","0,8171","0,162","0,3516","0,4214"
139,"0,4204","0,8167","0,1613","0,3512","0,4215"
140,"0,4182","0,8177","0,1606","0,3506","0,4216"
141,"0,4163","0,8175","0,1599","0,35","0,4217"
142,"0,415","0,8179","0,1593","0,3496","0,4219"
143,"0,4124","0,8176","0,1586","0,3494","0,4217"
144,"0,4107","0,8181","0,158","0,349","0,4218"
145,"0,4088","0,8179","0,1574","0,3483","0,422"
146,"0,407","0,8179","0,1568","0,3478","0,422"
147,"0,4053","0,8181","0,1563","0,3478","0,4219"
148,"0,4035","0,8191","0,1557","0,3474","0,422"
149,"0,4012","0,8197","0,1548","0,3464","0,4223"
150,"0,3998","0,8195","0,1544","0,3463","0,4222"
151,"0,3978","0,82","0,1538","0,3458","0,4223"
152,"0,3962","0,8204","0,1532","0,3454","0,4224"
153,"0,3945","0,8205","0,1526","0,3452","0,4224"
154,"0,3928","0,8207","0,1521","0,3447","0,4225"
155,"0,3912","0,8213","0,1515","0,3443","0,4226"
156,"0,3897","0,821","0,1511","0,3444","0,4224"
157,"0,388","0,8214","0,1505","0,3436","0,4225"
158,"0,3863","0,8219","0,15","0,3433","0,4226"
159,"0,385","0,8222","0,1496","0,3433","0,4225"
160,"0,3832","0,8231","0,1489","0,3427","0,4227"
161,"0,3817","0,8225","0,1485","0,3424","0,4226"
162,"0,3803","0,8231","0,1481","0,3423","0,4225"
163,"0,3785","0,8232","0,1474","0,3418","0,4226"
164,"0,3769","0,8236","0,1468","0,341","0,4229"
165,"0,3758","0,8232","0,1465","0,3412","0,4228"
166,"0,3745","0,8232","0,1462","0,3412","0,4226"
167,"0,373","0,8239","0,1457","0,3409","0,4226"
168,"0,3715","0,8242","0,1452","0,3402","0,4227"
169,"0,3699","0,8242","0,1447","0,34","0,4227"
170,"0,3689","0,8235","0,1444","0,34","0,4226"
171,"0,3674","0,8237","0,1438","0,3394","0,4228"
